index,name,imdbUrl,screentime,episodes,portrayedBy
141,Ser Dontos Hollard,http://www.imdb.com/character/ch0305031/,4.45,4,"{'name': 'Tony Way', 'imdbUrl': 'http://www.imdb.com/name/nm0915453/'}"
142,Black Walder Rivers,http://www.imdb.com/character/ch0014591/,4.45,7,"{'name': 'Bryan McCaugherty', 'imdbUrl': 'http://www.imdb.com/name/nm0565472/'}"
143,Lyanna Mormont,http://www.imdb.com/character/ch0541884/,4.3,3,"{'name': 'Bella Ramsey', 'imdbUrl': 'http://www.imdb.com/name/nm8165602/'}"
144,Mossador,http://www.imdb.com/character/ch0508053/,4.3,3,"{'name': 'Reece Noi', 'imdbUrl': 'http://www.imdb.com/name/nm0634139/'}"
145,Pyat Pree,http://www.imdb.com/character/ch0303952/,4.3,3,"{'name': 'Ian Hanmore', 'imdbUrl': 'http://www.imdb.com/name/nm0360171/'}"
146,Leaf,http://www.imdb.com/character/ch0467999/,4.15,4,"{'name': 'Octavia Selena Alexandru', 'imdbUrl': 'http://www.imdb.com/name/nm3238466/'}"
147,Walda Bolton,http://www.imdb.com/character/ch0506401/,4.0,5,"{'name': 'Elizabeth Webster', 'imdbUrl': 'http://www.imdb.com/name/nm3531913/'}"
148,Randyll Tarly,http://www.imdb.com/character/ch0524408/,4.0,unspecified,"{'name': 'James Faulkner', 'imdbUrl': 'http://www.imdb.com/name/nm0269077/'}"
149,Malko,http://www.imdb.com/character/ch0519184/,4.0,2,"{'name': 'Adewale Akinnuoye-Agbaje', 'imdbUrl': 'http://www.imdb.com/name/nm0015382/'}"
150,Trystane Martell,http://www.imdb.com/character/ch0506400/,3.45,5,"{'name': 'Toby Sebastian', 'imdbUrl': 'http://www.imdb.com/name/nm4514519/'}"
151,Areo Hotah,http://www.imdb.com/character/ch0507107/,3.45,5,"{'name': 'Deobia Oparei', 'imdbUrl': 'http://www.imdb.com/name/nm0649046/'}"
152,Aeron Greyjoy,http://www.imdb.com/character/ch0540081/,3.45,2,"{'name': 'Michael Feast', 'imdbUrl': 'http://www.imdb.com/name/nm0269923/'}"
153,Loboda,http://www.imdb.com/character/ch0511931/,3.45,unspecified,"{'name': 'Zachary Baharov', 'imdbUrl': 'http://www.imdb.com/name/nm1707712/'}"
154,Melessa Tarly,http://www.imdb.com/character/ch0541191/,3.3,unspecified,"{'name': 'Samantha Spiro', 'imdbUrl': 'http://www.imdb.com/name/nm0819087/'}"
155,Amory Lorch,http://www.imdb.com/character/ch0305002/,3.3,4,"{'name': 'Fintan McKeown', 'imdbUrl': 'http://www.imdb.com/name/nm0571654/'}"
156,Illyrio Mopatis,http://www.imdb.com/character/ch0172909/,3.3,2,"{'name': 'Roger Allam', 'imdbUrl': 'http://www.imdb.com/name/nm0019885/'}"
157,Smalljon Umber,http://www.imdb.com/character/ch0540067/,3.3,2,"{'name': 'Dean S. Jagger', 'imdbUrl': 'http://www.imdb.com/name/nm2746504/'}"
158,Bowen Marsh,http://www.imdb.com/character/ch0305036/,3.3,9,"{'name': 'Brian Fortune', 'imdbUrl': 'http://www.imdb.com/name/nm1987270/'}"
159,Tycho Nestoris,http://www.imdb.com/character/ch0468190/,3.15,2,"{'name': 'Mark Gatiss', 'imdbUrl': 'http://www.imdb.com/name/nm0309693/'}"
